model,split,metric,mean,ci_lo,ci_hi,n,vs_benchmark_mean_diff,vs_benchmark_ci_lo,vs_benchmark_ci_hi,vs_benchmark_n_paired,vs_benchmark_p_two_sided
lgb_abs,val_strain_only,abundance_pcc,0.9859403767782503,0.985348279213619,0.9864805087510253,1333,0.0048845479983776145,0.0045766798404972475,0.005186021243629373,1333.0,0.001
lgb_abs,val_both,fold_change_pcc,0.1776221847903331,0.16183509595479842,0.1920886172239708,269,-0.06785014544368093,-0.08347408307482804,-0.052344476831767045,269.0,0.001
lgb_abs,val_both,residual_pcc_vs_mu_ctx,0.2263989706354182,0.21363746084622567,0.2400833327324567,269,-0.05438213061154417,-0.06951482406432075,-0.0398092234627347,269.0,0.001
lgb_abs,val_both,residual_pcc_vs_mu_drug,0.18845589728029952,0.17459114611447818,0.20052974794099232,269,-0.07875070350172797,-0.09342438184758052,-0.0646711758954096,269.0,0.001
lgb_abs,val_both,residual_pcc_vs_batch_aware_mu_ctx,0.2626278612653077,0.24082511926917766,0.2840495227220046,269,-0.032266347983844035,-0.05487471038085458,-0.010911433078680498,269.0,0.002
lgb_abs,val_both,abundance_pcc,0.9871361309176898,0.9860901484093033,0.9880158553777714,269,0.003745272304894003,0.00311198595528972,0.004386334177810703,269.0,0.001
lgb_abs,val_time,fold_change_pcc,0.5607377828908354,0.536756498861299,0.5845130871690426,139,0.082956135906908,0.06617750198722015,0.09973057458833616,139.0,0.001
lgb_abs,val_time,residual_pcc_vs_mu_ctx,0.49865701504027193,0.47292628014833926,0.5260280421220536,139,0.1751982810288934,0.14665075720462661,0.20590427452475732,139.0,0.001
lgb_abs,val_time,residual_pcc_vs_mu_drug,0.5277932689385686,0.5056831087473689,0.5480645528203408,139,0.08640622991220645,0.060875442447372384,0.11658128015509482,139.0,0.001
lgb_abs,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.41343008273811543,0.38483069812909965,0.4417152827731913,139,0.41344962719595035,0.3853028097575529,0.4411068263787775,139.0,0.001
lgb_abs,val_time,abundance_pcc,0.9904594854713784,0.989123194976034,0.9916662988210473,139,0.0007858468886728951,-0.00037090221745698915,0.002212237090735545,139.0,0.236
xgb_abs,val_chem_only,fold_change_pcc,0.43296783004818784,0.4263482743006172,0.4397677958840356,1065,-0.05360512777877007,-0.057465085262425525,-0.05006729564438019,1065.0,0.001
xgb_abs,val_chem_only,residual_pcc_vs_mu_ctx,0.40116903751875965,0.3915294998569217,0.41087962061025696,1065,-0.051592576151366656,-0.058893305349584014,-0.04505386696895081,1065.0,0.001
xgb_abs,val_chem_only,residual_pcc_vs_mu_drug,0.4280454669175665,0.42055232120973446,0.4352112661046884,1065,-0.05966855027437069,-0.0651559454448847,-0.05484795463871899,1065.0,0.001
xgb_abs,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,0.16869528517627927,0.15808395924464239,0.1784828923071176,1065,0.1683287010570466,0.1575625199916209,0.17820130367311765,1065.0,0.001
xgb_abs,val_chem_only,abundance_pcc,0.8991435121535728,0.8962332490257165,0.9018125507018366,1065,-0.0941349947008384,-0.09692575491012706,-0.09153049461667659,1065.0,0.001
xgb_abs,val_strain_only,fold_change_pcc,0.28508724627235876,0.274250438384504,0.2963563868289039,1333,0.007418701072993066,-0.003412482563102587,0.01821137703314745,1333.0,0.18
xgb_abs,val_strain_only,residual_pcc_vs_mu_ctx,0.32368022125175844,0.3158908210153084,0.3319072542775773,1333,0.0289019076570634,0.019394605301904264,0.0381031376140947,1333.0,0.001
xgb_abs,val_strain_only,residual_pcc_vs_mu_drug,0.26004267923301705,0.24978530274234043,0.26941883977240766,1333,-0.04035673897829416,-0.049342094157995085,-0.03142942191562184,1333.0,0.001
xgb_abs,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.369294578862429,0.3627067768244981,0.3763949705421,1333,0.06041799714234831,0.05205177904966261,0.06824296105656281,1333.0,0.001
xgb_abs,val_strain_only,abundance_pcc,0.822535786058058,0.8192963353701658,0.8257796341004197,1333,-0.15852004272181458,-0.16179561029525993,-0.1551481260163545,1333.0,0.001
xgb_abs,val_both,fold_change_pcc,0.18288437581944744,0.16737317678866093,0.19773785922201179,269,-0.06258795441456656,-0.07770991425632089,-0.04787277951216939,269.0,0.001
xgb_abs,val_both,residual_pcc_vs_mu_ctx,0.22888807747019113,0.2156262903087321,0.24248913256871651,269,-0.051893023776771206,-0.06659144726291849,-0.037327955451237314,269.0,0.001
xgb_abs,val_both,residual_pcc_vs_mu_drug,0.19337274368210292,0.17984956679787775,0.2058110752396234,269,-0.0738338570999246,-0.08832459522071398,-0.0603267094600687,269.0,0.001
xgb_abs,val_both,residual_pcc_vs_batch_aware_mu_ctx,0.2662548242420177,0.2444740871752378,0.286283951873248,269,-0.028639385007133936,-0.05028104529699782,-0.007807141083745251,269.0,0.006
xgb_abs,val_both,abundance_pcc,0.8584759266042151,0.8524811098425028,0.8640236521851511,269,-0.12491493200858073,-0.1307602998024613,-0.119386485409984,269.0,0.001
xgb_abs,val_time,fold_change_pcc,0.5610079731434208,0.5373636915501119,0.5838712254900251,139,0.08322632615949331,0.06662155337939989,0.10034140229395572,139.0,0.001
xgb_abs,val_time,residual_pcc_vs_mu_ctx,0.4985212100258426,0.4732168601931201,0.5259565443452114,139,0.17506247601446395,0.14676714080361314,0.2058433452653506,139.0,0.001
xgb_abs,val_time,residual_pcc_vs_mu_drug,0.5276134328338994,0.5056501013251608,0.5477464294797744,139,0.08622639380753723,0.06074790995720766,0.11632994208413387,139.0,0.001
xgb_abs,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.41292222641693416,0.3842585662834106,0.4406537810477623,139,0.412941770874769,0.38431946338620954,0.4404658666165792,139.0,0.001
xgb_abs,val_time,abundance_pcc,0.9089161708913218,0.9004440189055104,0.9167281928449001,139,-0.08075746769138362,-0.08979052908228206,-0.07212399751306266,139.0,0.001
cat_abs,val_chem_only,fold_change_pcc,0.31715034973245065,0.3108265520158146,0.323684096239557,1065,-0.1694226080945072,-0.1743286586063324,-0.16443505298915684,1065.0,0.001
cat_abs,val_chem_only,residual_pcc_vs_mu_ctx,0.16982055769608295,0.1615429416930271,0.17796409677770866,1065,-0.28294105597404334,-0.29041825340639404,-0.27545254139648434,1065.0,0.001
cat_abs,val_chem_only,residual_pcc_vs_mu_drug,0.23380729569089695,0.22643982947024335,0.2414830903384857,1065,-0.2539067215010402,-0.2602036678340446,-0.24713700612591855,1065.0,0.001
cat_abs,val_chem_only,residual_pcc_vs_batch_aware_mu_ctx,-0.08760865633200016,-0.09674112404834094,-0.0781532689611556,1065,-0.08797524045123278,-0.09726213599032421,-0.07851647091316447,1065.0,0.001
cat_abs,val_chem_only,abundance_pcc,0.9779666982336169,0.9775925844159207,0.9783493400287945,1065,-0.015311808620794074,-0.015609620903773784,-0.015046813438590437,1065.0,0.001
cat_abs,val_strain_only,fold_change_pcc,0.2637689552515671,0.25393789373121345,0.27380820472896367,1333,-0.013899589947798578,-0.024116846162827568,-0.003601067097668277,1333.0,0.008
cat_abs,val_strain_only,residual_pcc_vs_mu_ctx,0.2907851061381334,0.2839754247772695,0.2983525212814105,1333,-0.003993207456561581,-0.012537424373853854,0.00433958588191614,1333.0,0.348
cat_abs,val_strain_only,residual_pcc_vs_mu_drug,0.21794066832946088,0.20864968431540545,0.2268653453118517,1333,-0.08245874988185029,-0.09077509502168765,-0.07441996485950413,1333.0,0.001
cat_abs,val_strain_only,residual_pcc_vs_batch_aware_mu_ctx,0.3267846067107704,0.32061152240754653,0.3332523798218608,1333,0.0179080249906897,0.010013584358154344,0.02559547433675219,1333.0,0.001
cat_abs,val_strain_only,abundance_pcc,0.9832602104848155,0.9826603596544453,0.9838041237971253,1333,0.002204381704942762,0.001862563696123999,0.0025165375943506135,1333.0,0.001
cat_abs,val_both,fold_change_pcc,0.15422954880487394,0.13897879517973108,0.1703149604409927,269,-0.09124278142914004,-0.1086364533602937,-0.07213954607018198,269.0,0.001
cat_abs,val_both,residual_pcc_vs_mu_ctx,0.063899653844234,0.047983941975855,0.07906283736248922,269,-0.21688144740272836,-0.23633178292990697,-0.197078315104908,269.0,0.001
cat_abs,val_both,residual_pcc_vs_mu_drug,0.07852927748644267,0.06133031128714545,0.09562102203701024,269,-0.18867732329558481,-0.20755884016502382,-0.16765114170503181,269.0,0.001
cat_abs,val_both,residual_pcc_vs_batch_aware_mu_ctx,-0.057267475056375326,-0.07593170703599031,-0.038811617688543985,269,-0.35216168430552697,-0.37518285932195783,-0.3278309823896323,269.0,0.001
cat_abs,val_both,abundance_pcc,0.9730802210118332,0.9721467266418293,0.9739249817313197,269,-0.01031063760096265,-0.010969221029520054,-0.00965822571117049,269.0,0.001
cat_abs,val_time,fold_change_pcc,0.48945653861386496,0.46508948200707473,0.5149858807106993,139,0.011674891629937451,-0.008975816206200252,0.03220965149613852,139.0,0.264
cat_abs,val_time,residual_pcc_vs_mu_ctx,0.3950049065148132,0.3619309482964999,0.4284451185955479,139,0.07154617250343456,0.04051303214841493,0.10364350583001375,139.0,0.001
cat_abs,val_time,residual_pcc_vs_mu_drug,0.4280619837163901,0.4050146037781616,0.4498332936621579,139,-0.013325055309971938,-0.0453250656165689,0.021672124016847465,139.0,0.426
cat_abs,val_time,residual_pcc_vs_batch_aware_mu_ctx,0.2857709849821457,0.2526303111323069,0.31909229029301495,139,0.2857905294399807,0.2536147234090859,0.31894153579286916,139.0,0.001
cat_abs,val_time,abundance_pcc,0.9872027030679693,0.985681659894704,0.9884729626160795,139,-0.0024709355147361878,-0.003704777425708617,-0.0010065891503354578,139.0,0.002
ens_delta,val_chem_only,fold_change_pcc,0.3862929890494095,0.3799602414901197,0.3930693981403952,1065,-0.1002799687775484,-0.10364616439808727,-0.0966212391233568,1065.0,0.001
ens_delta,val_chem_only,residual_pcc_vs_mu_ctx,0.29477158882425814,0.2859188901889731,0.3043622508995238,1065,-0.1579900248458681,-0.16337791559541429,-0.15245432724515035,1065.0,0.001
ens_delta,val_chem_only,residual_pcc_vs_mu_drug,0.33903153930169455,0.3323049606002554,0.3464584819048812,1065,-0.14868247789024266,-0.15316373597324603,-0.14382696871642792,1065.0,0.001
